NaN	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof:
NaN	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof:
NaN	Babyfood, water, bottled, GERBER, without added fluoride.:
NaN	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof:
NaN	Alcoholic beverage, distilled, rum, 80 proof:
NaN	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof:
NaN	Babyfood, water, bottled, GERBER, without added fluoride.:
NaN	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof:
NaN	Salt, table:
NaN	Alcoholic beverage, distilled, whiskey, 86 proof:
NaN	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof:
NaN	Babyfood, water, bottled, GERBER, without added fluoride.:
NaN	Seasoning mix, dry, sazon, coriander & annatto:
NaN	Alcoholic beverage, distilled, vodka, 80 proof:
NaN	Alcoholic beverage, distilled, vodka, 80 proof:
NaN	Water, bottled, generic:
NaN	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof:
NaN	Alcoholic beverage, distilled, gin, 90 proof:
NaN	Sweeteners, tabletop, sucralose, SPLENDA packets:
NaN	Seasoning mix, dry, sazon, coriander & annatto:
NaN	Babyfood, water, bottled, GERBER, without added fluoride.:
NaN	Beverages, water, bottled, non-carbonated, EVIAN:
NaN	Seasoning mix, dry, sazon, coriander & annatto:
NaN	Babyfood, water, bottled, GERBER, without added fluoride.:
NaN	Salt, table:
NaN	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof:
NaN	Alcoholic beverage, distilled, gin, 90 proof:
NaN	Seasoning mix, dry, sazon, coriander & annatto:
NaN	Alcoholic beverage, distilled, rum, 80 proof:
NaN	Alcoholic beverage, distilled, vodka, 80 proof:
NaN	Sweeteners, tabletop, sucralose, SPLENDA packets:
NaN	Sweeteners, tabletop, fructose, dry, powder:
NaN	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof:
NaN	Babyfood, water, bottled, GERBER, without added fluoride.:
NaN	Water, bottled, generic:
NaN	Alcoholic beverage, distilled, rum, 80 proof:
NaN	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof:
NaN	Alcoholic beverage, distilled, gin, 90 proof:
NaN	Beverages, tea, black, ready to drink:
NaN	Babyfood, water, bottled, GERBER, without added fluoride.:
NaN	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof:
NaN	Alcoholic beverage, distilled, gin, 90 proof:
NaN	Babyfood, water, bottled, GERBER, without added fluoride.:
NaN	Alcoholic beverage, distilled, vodka, 80 proof:
NaN	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof:
NaN	Alcoholic beverage, distilled, rum, 80 proof:
NaN	Babyfood, water, bottled, GERBER, without added fluoride.:
NaN	Salt, table:
NaN	Seasoning mix, dry, sazon, coriander & annatto:
NaN	Salt, table:
NaN	Alcoholic beverage, distilled, rum, 80 proof:
NaN	Salt, table:
NaN	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof:
